Word,Length,Count,Weighted Percentage
level,5,71,0.15%
examiner,8,70,0.14%
provision,9,70,0.14%
studies,7,70,0.14%
arrangements,12,69,0.14%
category,8,69,0.14%
head,4,69,0.14%
researcher,10,69,0.14%
take,4,69,0.14%
chair,5,68,0.14%
circumstances,13,68,0.14%
members,7,68,0.14%
specific,8,68,0.14%
chapter,7,67,0.14%
example,7,67,0.14%
executive,9,67,0.14%
years,5,67,0.14%
full,4,66,0.14%
updated,7,66,0.14%
access,6,65,0.13%
case,4,65,0.13%
meetings,8,65,0.13%
institutions,12,64,0.13%
make,4,64,0.13%
needs,5,64,0.13%
reported,8,64,0.13%
2018,4,63,0.13%
responsibilities,16,63,0.13%
first,5,62,0.13%
subject,7,62,0.13%
activities,10,61,0.12%
annual,6,61,0.12%
primary,7,61,0.12%
whether,7,61,0.12%
expected,8,60,0.12%
limited,7,60,0.12%
set,3,60,0.12%
two,3,60,0.12%
based,5,59,0.12%
supporting,10,59,0.12%
used,4,59,0.12%
leave,5,58,0.12%
form,4,57,0.12%
months,6,57,0.12%
respondents,11,57,0.12%
well,4,57,0.12%
advisory,8,56,0.11%
indicator,9,56,0.11%
panel,5,56,0.11%
probationary,12,56,0.11%
problems,8,56,0.11%
three,5,56,0.11%
course,6,55,0.11%
end,3,55,0.11%
least,5,55,0.11%
monitoring,10,55,0.11%
outcomes,8,55,0.11%
range,5,55,0.11%
appointment,11,54,0.11%
considered,10,54,0.11%
crac,4,54,0.11%
effective,9,54,0.11%
award,5,53,0.11%
place,5,53,0.11%
appointed,9,52,0.11%
grant,5,52,0.11%
groups,6,52,0.11%
internal,8,52,0.11%
see,3,52,0.11%
agreed,6,51,0.10%
career,6,51,0.10%
different,9,51,0.10%
possible,8,51,0.10%
provider,8,51,0.10%
section,7,51,0.10%
viva,4,51,0.10%
approved,8,50,0.10%
master,6,49,0.10%
submitted,9,49,0.10%
complete,8,48,0.10%
completion,10,48,0.10%
criteria,8,48,0.10%
institution,11,48,0.10%
oral,4,48,0.10%
recommendation,14,48,0.10%
aware,5,47,0.10%
schools,7,47,0.10%
develop,7,46,0.09%
document,8,46,0.09%
relationship,12,46,0.09%
standards,9,46,0.09%
expectations,12,45,0.09%
normally,8,45,0.09%
responsibility,14,45,0.09%
2017,4,44,0.09%
points,6,44,0.09%
council,7,43,0.09%
documents,9,43,0.09%
date,4,42,0.09%
existing,8,42,0.09%
relating,8,42,0.09%
submit,6,42,0.09%
additional,10,41,0.08%
final,5,41,0.08%
given,5,41,0.08%
however,7,41,0.08%
important,9,41,0.08%
prior,5,41,0.08%
rcuk,4,41,0.08%
community,9,40,0.08%
group,5,40,0.08%
mechanisms,10,40,0.08%
meet,4,40,0.08%
admissions,10,39,0.08%
clearly,7,39,0.08%
condition,9,39,0.08%
consideration,13,39,0.08%
included,8,39,0.08%
involved,8,39,0.08%
proposal,8,39,0.08%
publication,11,39,0.08%
publications,12,39,0.08%
associate,9,38,0.08%
complaints,10,38,0.08%
details,7,38,0.08%
management,10,38,0.08%
please,6,38,0.08%
policies,8,38,0.08%
providing,9,38,0.08%
record,6,38,0.08%
sources,7,38,0.08%
changes,7,37,0.08%
consider,8,37,0.08%
data,4,37,0.08%
developing,10,37,0.08%
either,6,37,0.08%
financial,9,37,0.08%
found,5,37,0.08%
key,3,37,0.08%
potential,9,37,0.08%
published,9,37,0.08%
registered,10,37,0.08%
resources,9,37,0.08%
results,7,37,0.08%
weeks,5,37,0.08%
able,4,36,0.07%
focus,5,36,0.07%
general,7,36,0.07%
institutional,13,36,0.07%
necessary,9,36,0.07%
november,8,36,0.07%
plan,4,36,0.07%
processes,9,36,0.07%
rcs,3,36,0.07%
statement,9,36,0.07%
change,6,35,0.07%
department,10,35,0.07%
doctorate,9,35,0.07%
evidence,8,35,0.07%
less,4,35,0.07%
population,10,35,0.07%
responsible,11,35,0.07%
sector,6,35,0.07%
taken,5,35,0.07%
understanding,13,35,0.07%
undertake,9,35,0.07%
agree,5,34,0.07%
appendix,8,34,0.07%
associated,10,34,0.07%
completed,9,34,0.07%
fees,4,34,0.07%
main,4,34,0.07%
material,8,34,0.07%
proposed,8,34,0.07%
reflect,7,34,0.07%
text,4,34,0.07%
conditions,10,33,0.07%
expectation,11,33,0.07%
generally,9,33,0.07%
help,4,33,0.07%
nominee,7,33,0.07%
office,6,33,0.07%
qualification,13,33,0.07%
related,7,33,0.07%
undertaken,10,33,0.07%
across,6,32,0.07%
admission,9,32,0.07%
approach,8,32,0.07%
awarding,8,32,0.07%
basis,5,32,0.07%
early,5,32,0.07%
enable,6,32,0.07%
feedback,8,32,0.07%
intellectual,12,32,0.07%
making,6,32,0.07%
minimum,7,32,0.07%
others,6,32,0.07%
pilot,5,32,0.07%
ppd,3,32,0.07%
sufficient,10,32,0.07%
test,4,32,0.07%
although,8,31,0.06%
appeals,7,31,0.06%
attend,6,31,0.06%
bodies,6,31,0.06%
employment,10,31,0.06%
impact,6,31,0.06%
present,7,31,0.06%
qualifications,14,31,0.06%
recommendations,15,31,0.06%
application,11,30,0.06%
dean,4,30,0.06%
extent,6,30,0.06%
identified,10,30,0.06%
line,4,30,0.06%
member,6,30,0.06%
opportunity,11,30,0.06%
reports,7,30,0.06%
ros,3,30,0.06%
studentship,11,30,0.06%
successful,10,30,0.06%
characteristics,15,29,0.06%
counselling,11,29,0.06%
engagement,10,29,0.06%
equality,8,29,0.06%
examples,8,29,0.06%
expect,6,29,0.06%
family,6,29,0.06%
high,4,29,0.06%
many,4,29,0.06%
nature,6,29,0.06%
per,3,29,0.06%
regular,7,29,0.06%
site,4,29,0.06%
stage,5,29,0.06%
supported,9,29,0.06%
title,5,29,0.06%
agreement,9,28,0.06%
asked,5,28,0.06%
body,4,28,0.06%
common,6,28,0.06%
concerns,8,28,0.06%
funded,6,28,0.06%
guidelines,10,28,0.06%
induction,9,28,0.06%
institutes,10,28,0.06%
interest,8,28,0.06%
non,3,28,0.06%
open,4,28,0.06%
pres,4,28,0.06%
response,8,28,0.06%
stress,6,28,0.06%
terms,5,28,0.06%
written,7,28,0.06%
areas,5,27,0.06%
culture,7,27,0.06%
decision,8,27,0.06%
extension,9,27,0.06%
hei,3,27,0.06%
initial,7,27,0.06%
nbi,3,27,0.06%
particular,10,27,0.06%
particularly,12,27,0.06%
periods,7,27,0.06%
presentation,12,27,0.06%
questions,9,27,0.06%
taught,6,27,0.06%
account,7,26,0.05%
around,6,26,0.05%
discuss,7,26,0.05%
ethical,7,26,0.05%
experiences,11,26,0.05%
life,4,26,0.05%
maternity,9,26,0.05%
national,8,26,0.05%
partner,7,26,0.05%
provides,8,26,0.05%
reasonable,10,26,0.05%
regarding,9,26,0.05%
self,4,26,0.05%
summary,7,26,0.05%
way,3,26,0.05%
2015,4,25,0.05%
balance,7,25,0.05%
conduct,7,25,0.05%
domain,6,25,0.05%
england,7,25,0.05%
ensuring,8,25,0.05%
indicators,10,25,0.05%
john,4,25,0.05%
list,4,25,0.05%
long,4,25,0.05%
means,5,25,0.05%
next,4,25,0.05%
number,6,25,0.05%
offer,5,25,0.05%
paid,4,25,0.05%
pastoral,8,25,0.05%
point,5,25,0.05%
revised,7,25,0.05%
several,7,25,0.05%
start,5,25,0.05%
times,5,25,0.05%
writing,7,25,0.05%
accessible,10,24,0.05%
adriana,7,24,0.05%
affiliated,10,24,0.05%
current,7,24,0.05%
events,6,24,0.05%
factors,7,24,0.05%
needed,6,24,0.05%
online,6,24,0.05%
peer,4,24,0.05%
principles,10,24,0.05%
problem,7,24,0.05%
rdpd,4,24,0.05%
recruitment,11,24,0.05%
reference,9,24,0.05%
references,10,24,0.05%
social,6,24,0.05%
timely,6,24,0.05%
ukcge,5,24,0.05%
accordance,10,23,0.05%
act,3,23,0.05%
applicants,10,23,0.05%
cases,5,23,0.05%
doctor,6,23,0.05%
due,3,23,0.05%
feel,4,23,0.05%
individuals,11,23,0.05%
interviews,10,23,0.05%
joint,5,23,0.05%
order,5,23,0.05%
projects,8,23,0.05%
proposals,9,23,0.05%
rates,5,23,0.05%
regularly,9,23,0.05%
second,6,23,0.05%
status,6,23,0.05%
undergraduate,13,23,0.05%
wider,5,23,0.05%
area,4,22,0.05%
assurance,9,22,0.05%
committee,9,22,0.05%
compared,8,22,0.05%
continue,8,22,0.05%
courses,7,22,0.05%
decisions,9,22,0.05%
disability,10,22,0.05%
edd,3,22,0.05%
eligibility,11,22,0.05%
extensions,10,22,0.05%
fieldwork,9,22,0.05%
format,6,22,0.05%
literature,10,22,0.05%
practices,9,22,0.05%
reviews,7,22,0.05%
roles,5,22,0.05%
split,5,22,0.05%
throughout,10,22,0.05%
2011,4,21,0.04%
apply,5,21,0.04%
april,5,21,0.04%
conducted,9,21,0.04%
defined,7,21,0.04%
directly,8,21,0.04%
email,5,21,0.04%
equivalent,10,21,0.04%
face,4,21,0.04%
find,4,21,0.04%
importance,10,21,0.04%
informed,8,21,0.04%
pdf,3,21,0.04%
people,6,21,0.04%
put,3,21,0.04%
recognised,10,21,0.04%
refer,5,21,0.04%
request,7,21,0.04%
require,7,21,0.04%
similar,7,21,0.04%
standard,8,21,0.04%
transfer,8,21,0.04%
universities,12,21,0.04%
version,7,21,0.04%
2016,4,20,0.04%
analysis,8,20,0.04%
another,7,20,0.04%
cohort,6,20,0.04%
concerned,9,20,0.04%
consultation,12,20,0.04%
context,7,20,0.04%
copy,4,20,0.04%
credits,7,20,0.04%
diversity,9,20,0.04%
ethics,6,20,0.04%
give,4,20,0.04%
http,4,20,0.04%
identify,8,20,0.04%
instructions,12,20,0.04%
matters,7,20,0.04%
month,5,20,0.04%
offered,7,20,0.04%
often,5,20,0.04%
outline,7,20,0.04%
overall,7,20,0.04%
planning,8,20,0.04%
sample,6,20,0.04%
seek,4,20,0.04%
shared,6,20,0.04%
system,6,20,0.04%
undertaking,11,20,0.04%
using,5,20,0.04%
ways,4,20,0.04%
awards,6,19,0.04%
b11,3,19,0.04%
best,4,19,0.04%
communication,13,19,0.04%
diverse,7,19,0.04%
effectively,11,19,0.04%
electronic,10,19,0.04%
every,5,19,0.04%
four,4,19,0.04%
hard,4,19,0.04%
integrity,9,19,0.04%
outside,7,19,0.04%
performance,11,19,0.04%
september,9,19,0.04%
studentships,12,19,0.04%
taking,6,19,0.04%
talk,4,19,0.04%
therefore,9,19,0.04%
website,7,19,0.04%
wide,4,19,0.04%
2010,4,18,0.04%
achievement,11,18,0.04%
addition,8,18,0.04%
appropriately,13,18,0.04%
challenges,10,18,0.04%
content,7,18,0.04%
copies,6,18,0.04%
councils,8,18,0.04%
demand,6,18,0.04%
difficulties,12,18,0.04%
discipline,10,18,0.04%
doctorates,10,18,0.04%
field,5,18,0.04%
follows,7,18,0.04%
funds,5,18,0.04%
hours,5,18,0.04%
introduction,12,18,0.04%
involve,7,18,0.04%
methods,7,18,0.04%
mphil,5,18,0.04%
nationals,9,18,0.04%
procedure,9,18,0.04%
public,6,18,0.04%
reasons,7,18,0.04%
receive,7,18,0.04%
recent,6,18,0.04%
relation,8,18,0.04%
requests,8,18,0.04%
safety,6,18,0.04%
seen,4,18,0.04%
significant,11,18,0.04%
specifically,12,18,0.04%
stages,6,18,0.04%
targeted,8,18,0.04%
usually,7,18,0.04%
voice,5,18,0.04%
without,7,18,0.04%
000,3,17,0.03%
ability,7,17,0.03%
allow,5,17,0.03%
answer,6,17,0.03%
appeal,6,17,0.03%
assess,6,17,0.03%
back,4,17,0.03%
behalf,6,17,0.03%
codes,5,17,0.03%
departmental,12,17,0.03%
facilities,10,17,0.03%
fee,3,17,0.03%
improve,7,17,0.03%
informal,8,17,0.03%
language,8,17,0.03%
leaving,7,17,0.03%
local,5,17,0.03%
london,6,17,0.03%
low,3,17,0.03%
monitor,7,17,0.03%
name,4,17,0.03%
pages,5,17,0.03%
post,4,17,0.03%
practical,9,17,0.03%
preparation,11,17,0.03%
purpose,7,17,0.03%
received,8,17,0.03%
requires,8,17,0.03%
result,6,17,0.03%
return,6,17,0.03%
right,5,17,0.03%
six,3,17,0.03%
students',9,17,0.03%
suspending,10,17,0.03%
total,5,17,0.03%
ukri,4,17,0.03%
understand,10,17,0.03%
view,4,17,0.03%
achieve,7,16,0.03%
action,6,16,0.03%
behaviour,9,16,0.03%
bound,5,16,0.03%
colleagues,10,16,0.03%
communicated,12,16,0.03%
continuation,12,16,0.03%
design,6,16,0.03%
evaluation,10,16,0.03%
experienced,11,16,0.03%
expertise,9,16,0.03%
felt,4,16,0.03%
frameworks,10,16,0.03%
includes,8,16,0.03%
know,4,16,0.03%
levels,6,16,0.03%
mandatory,9,16,0.03%
manner,6,16,0.03%
might,5,16,0.03%
paragraphs,10,16,0.03%
partners,8,16,0.03%
pro,3,16,0.03%
rate,4,16,0.03%
recognition,11,16,0.03%
relationships,13,16,0.03%
requirement,11,16,0.03%
rights,6,16,0.03%
select,6,16,0.03%
single,6,16,0.03%
specified,9,16,0.03%
supportive,10,16,0.03%
theses,6,16,0.03%
unless,6,16,0.03%
via,3,16,0.03%
adam,4,15,0.03%
alternative,11,15,0.03%
applications,12,15,0.03%
arising,7,15,0.03%
become,6,15,0.03%
consulted,9,15,0.03%
depending,9,15,0.03%
directors,9,15,0.03%
encourage,9,15,0.03%
encouraging,11,15,0.03%
formally,8,15,0.03%
frequency,9,15,0.03%
implications,12,15,0.03%
issue,5,15,0.03%
lack,4,15,0.03%
managers,8,15,0.03%
met,3,15,0.03%
networks,8,15,0.03%
organisation,12,15,0.03%
original,8,15,0.03%
paragraph,9,15,0.03%
paternity,9,15,0.03%
pathway,7,15,0.03%
poor,4,15,0.03%
positive,8,15,0.03%
pre,3,15,0.03%
prepared,8,15,0.03%
purposes,8,15,0.03%
rdf,3,15,0.03%
records,7,15,0.03%
reviewed,8,15,0.03%
setting,7,15,0.03%
sharing,7,15,0.03%
successfully,12,15,0.03%
suspension,10,15,0.03%
term,4,15,0.03%
union,5,15,0.03%
whole,5,15,0.03%
address,7,14,0.03%
among,5,14,0.03%
assessor,8,14,0.03%
attendance,10,14,0.03%
awarded,7,14,0.03%
centres,7,14,0.03%
conflict,8,14,0.03%
consensus,9,14,0.03%
contribution,12,14,0.03%
create,6,14,0.03%
critical,8,14,0.03%
difficult,9,14,0.03%
educational,11,14,0.03%
effectiveness,13,14,0.03%
enhance,7,14,0.03%
etc,3,14,0.03%
experiencing,12,14,0.03%
fair,4,14,0.03%
forms,5,14,0.03%
fully,5,14,0.03%
giving,6,14,0.03%
government,10,14,0.03%
hefce,5,14,0.03%
home,4,14,0.03%
inform,6,14,0.03%
intended,8,14,0.03%
maintaining,11,14,0.03%
manager,7,14,0.03%
masters,7,14,0.03%
much,4,14,0.03%
numbers,7,14,0.03%
officer,7,14,0.03%
organisations,13,14,0.03%
parties,7,14,0.03%
partnerships,12,14,0.03%
philosophy,10,14,0.03%
produce,7,14,0.03%
property,8,14,0.03%
prospective,11,14,0.03%
question,8,14,0.03%
schedule,8,14,0.03%
sent,4,14,0.03%
sessions,8,14,0.03%
specialist,10,14,0.03%
useful,6,14,0.03%
words,5,14,0.03%
workload,8,14,0.03%
absence,7,13,0.03%
academics,9,13,0.03%
acceptable,10,13,0.03%
acting,6,13,0.03%
active,6,13,0.03%
activity,8,13,0.03%
affect,6,13,0.03%
applied,7,13,0.03%
approaches,10,13,0.03%
assessing,9,13,0.03%
becky,5,13,0.03%
beyond,6,13,0.03%
class,5,13,0.03%
concern,7,13,0.03%
consistently,12,13,0.03%
continuing,10,13,0.03%
contribute,10,13,0.03%
costs,5,13,0.03%
cultural,8,13,0.03%
demonstrate,11,13,0.03%
developed,9,13,0.03%
discussions,11,13,0.03%
elements,8,13,0.03%
encouraged,10,13,0.03%
english,7,13,0.03%
examined,8,13,0.03%
exceptional,11,13,0.03%
friends,7,13,0.03%
illustrations,13,13,0.03%
involving,9,13,0.03%
jointly,7,13,0.03%
keep,4,13,0.03%
later,5,13,0.03%
lead,4,13,0.03%
left,4,13,0.03%
mentoring,9,13,0.03%
objectives,10,13,0.03%
org,3,13,0.03%
participate,11,13,0.03%
parts,5,13,0.03%
progression,11,13,0.03%
promote,7,13,0.03%
rather,6,13,0.03%
referred,8,13,0.03%
regulatory,10,13,0.03%
respond,7,13,0.03%
senate,6,13,0.03%
size,4,13,0.03%
table,5,13,0.03%
tables,6,13,0.03%
thought,7,13,0.03%
tutors,6,13,0.03%
types,5,13,0.03%
wish,4,13,0.03%
abilities,9,12,0.02%
advised,7,12,0.02%
applicable,10,12,0.02%
applies,7,12,0.02%
arrangement,11,12,0.02%
beginning,9,12,0.02%
collaboration,13,12,0.02%
collaborative,13,12,0.02%
consistency,11,12,0.02%
dealing,7,12,0.02%
designated,10,12,0.02%
disabilities,12,12,0.02%
duration,8,12,0.02%
enables,7,12,0.02%
engage,6,12,0.02%
excellence,10,12,0.02%
finance,7,12,0.02%
findings,8,12,0.02%
fund,4,12,0.02%
guide,5,12,0.02%
inclusive,9,12,0.02%
leadership,10,12,0.02%
length,6,12,0.02%
letter,6,12,0.02%
library,7,12,0.02%
male,4,12,0.02%
maximum,7,12,0.02%
media,5,12,0.02%
mentioned,9,12,0.02%
normal,6,12,0.02%
norwich,7,12,0.02%
outcome,7,12,0.02%
paper,5,12,0.02%
parental,8,12,0.02%
partnership,11,12,0.02%
pass,4,12,0.02%
pay,3,12,0.02%
permission,10,12,0.02%
plagiarism,10,12,0.02%
prepare,7,12,0.02%
previous,8,12,0.02%
readily,7,12,0.02%
recommended,11,12,0.02%
separate,8,12,0.02%
stipend,7,12,0.02%
strategic,9,12,0.02%
structure,9,12,0.02%
submissions,11,12,0.02%
success,7,12,0.02%
suitable,8,12,0.02%
together,8,12,0.02%
towards,7,12,0.02%
tutor,5,12,0.02%
understood,10,12,0.02%
visa,4,12,0.02%
week,4,12,0.02%
2013,4,11,0.02%
2014,4,11,0.02%
according,9,11,0.02%
achieving,9,11,0.02%
actions,7,11,0.02%
adoption,8,11,0.02%
aim,3,11,0.02%
always,6,11,0.02%
appoint,7,11,0.02%
away,4,11,0.02%
bioscience,10,11,0.02%
butterworth,11,11,0.02%
care,4,11,0.02%
check,5,11,0.02%
close,5,11,0.02%
coming,6,11,0.02%
communicate,11,11,0.02%
completing,10,11,0.02%
compliance,10,11,0.02%
comply,6,11,0.02%
concessions,11,11,0.02%
confirmed,9,11,0.02%
considering,11,11,0.02%
cover,5,11,0.02%
dates,5,11,0.02%
designed,8,11,0.02%
despite,7,11,0.02%
develops,8,11,0.02%
disciplinary,12,11,0.02%
duties,6,11,0.02%
employability,13,11,0.02%
employees,9,11,0.02%
equal,5,11,0.02%
especially,10,11,0.02%
excellent,9,11,0.02%
female,6,11,0.02%
follow,6,11,0.02%
get,3,11,0.02%
going,5,11,0.02%
guiding,7,11,0.02%
heads,5,11,0.02%
infrastructure,14,11,0.02%
interview,9,11,0.02%
isolation,9,11,0.02%
jss,3,11,0.02%
large,5,11,0.02%
longer,6,11,0.02%
maintained,10,11,0.02%
majority,8,11,0.02%
misconduct,10,11,0.02%
near,4,11,0.02%
notes,5,11,0.02%
participation,13,11,0.02%
plans,5,11,0.02%
prevention,10,11,0.02%
produced,8,11,0.02%
qualified,9,11,0.02%
reason,6,11,0.02%
recorded,8,11,0.02%
remain,6,11,0.02%
representative,14,11,0.02%
requested,9,11,0.02%
rules,5,11,0.02%
scotland,8,11,0.02%
seeking,7,11,0.02%
selection,9,11,0.02%
senior,6,11,0.02%
sequence,8,11,0.02%
show,4,11,0.02%
small,5,11,0.02%
spent,5,11,0.02%
sub,3,11,0.02%
teams,5,11,0.02%
tel,3,11,0.02%
topic,5,11,0.02%
typical,7,11,0.02%
vice,4,11,0.02%
wales,5,11,0.02%
wherever,8,11,0.02%
01603,5,10,0.02%
academia,8,10,0.02%
achieved,8,10,0.02%
adjustments,11,10,0.02%
advise,6,10,0.02%
agency,6,10,0.02%
amount,6,10,0.02%
anxiety,7,10,0.02%
applicant,9,10,0.02%
arrange,7,10,0.02%
arranged,8,10,0.02%
assessed,8,10,0.02%
attitude,8,10,0.02%
availability,12,10,0.02%
awareness,9,10,0.02%
benefit,7,10,0.02%
better,6,10,0.02%
carried,7,10,0.02%
charity,7,10,0.02%
collaborated,12,10,0.02%
commitment,10,10,0.02%
concerning,10,10,0.02%
conferences,11,10,0.02%
conflicts,9,10,0.02%
consistent,10,10,0.02%
contents,8,10,0.02%
contract,8,10,0.02%
contributions,13,10,0.02%
core,4,10,0.02%
currently,9,10,0.02%
day,3,10,0.02%
deadline,8,10,0.02%
deadlines,9,10,0.02%
definition,10,10,0.02%
delivery,8,10,0.02%
departments,11,10,0.02%
described,9,10,0.02%
descriptors,11,10,0.02%
detailed,8,10,0.02%
disciplines,11,10,0.02%
discussion,10,10,0.02%
done,4,10,0.02%
employers,9,10,0.02%
enabling,8,10,0.02%
environments,12,10,0.02%
establish,9,10,0.02%
explicit,8,10,0.02%
explore,7,10,0.02%
extended,8,10,0.02%
facilitate,10,10,0.02%
feeling,7,10,0.02%
followed,8,10,0.02%
former,6,10,0.02%
future,6,10,0.02%
healthy,7,10,0.02%
highly,6,10,0.02%
ideas,5,10,0.02%
imposter,8,10,0.02%
improving,9,10,0.02%
interventions,13,10,0.02%
involves,8,10,0.02%
isolated,8,10,0.02%
maintain,8,10,0.02%
managed,7,10,0.02%
materials,9,10,0.02%
med,3,10,0.02%
medical,7,10,0.02%
methodology,11,10,0.02%
nhs,3,10,0.02%
northern,8,10,0.02%
now,3,10,0.02%
option,6,10,0.02%
organisational,14,10,0.02%
originality,11,10,0.02%
payment,7,10,0.02%
permitted,9,10,0.02%
potentially,11,10,0.02%
presented,9,10,0.02%
previously,10,10,0.02%
probation,9,10,0.02%
professor,9,10,0.02%
